#,WCAid,Nome,Anno,Competizioni
,2012CAPP01,Gabriele Cappelletti,2023,4
,2013FURL01,Mattia Furlan,2016,4
,2014PIZZ02,Christian Pizzasegola,2015,4
,2014PRES01,Manel Prestieri,2018,4
,2014RAPO01,Tommaso Raposio,2019,4
,2014RAPO01,Tommaso Raposio,2024,4
,2015BENA01,Martin Benaduce,2017,4
,2015PERU02,Vittorio Maria Perucatti,2025,4
,2016BROW06,Edoardo Brown,2019,4
,2017FOKI01,Alexandros Fokianos,2024,4
,2017GUID01,Carolina Guidetti,2023,4
,2018CUCI02,Matteo Cucinotta,2019,4
,2018LOCA01,Valerio Locatelli,2025,4
,2022CEJK01,David Cejka,2022,4
,2022MANT03,Alberto Mantovani,2025,4
,2022QUAR01,Olmo Quarantini,2023,4
,2022ROSS02,Fabio Rossi,2022,4
,2024CIBE01,Matteo Cibene,2025,4
,2024GUAR03,Nicolas Guarini,2024,4
,2024JANS05,Sara Janssen,2025,4
,2024RICH22,Lorenzo Richetta,2025,4
