#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
,2017MAMB01,Giacomo Mambrini,2017,1,1,0,2
,2022CORO03,Giovanni Montagna Coronado,2024,1,1,0,2
39,2016IEZZ01,Francesco Iezzi,2019,1,0,1,2
,2017DUMM01,Matteo Dummar,2019,1,0,1,2
41,2009SANT01,Simone Santarsiero,2012,1,0,0,1
,2013MANO03,Alessandro Manopulo,2015,1,0,0,1
,2009SANT01,Simone Santarsiero,2016,1,0,0,1
,2013FURL01,Mattia Furlan,2018,1,0,0,1
,2016PAOL01,Damiano Di Paola,2018,1,0,0,1
,2017DUMM01,Matteo Dummar,2018,1,0,0,1
,2013FURL01,Mattia Furlan,2019,1,0,0,1
,2016PAOL01,Damiano Di Paola,2022,1,0,0,1
,2021PARO01,Matteo Parodi,2022,1,0,0,1
,2022FIDO01,Giulio Romano Fidora,2024,1,0,0,1
51,2021NOVI01,Alessia Novizio,2024,0,3,1,4
52,2022RIPO01,Riccardo Ripoldi,2025,0,2,1,3
53,2013MANO03,Alessandro Manopulo,2013,0,2,0,2
,2014MAUR06,Lorenzo Mauro,2018,0,2,0,2
,2021NARB01,Dario Angelo Narbone,2024,0,2,0,2
56,2013MANO03,Alessandro Manopulo,2014,0,1,2,3
,2016PAOL01,Damiano Di Paola,2025,0,1,2,3
58,2014MARC05,Leonardo Marchizza,2015,0,1,1,2
,2012NICO02,Alessandro Nicolì,2018,0,1,1,2
,2021PARO01,Matteo Parodi,2023,0,1,1,2
,2018ARNE04,Davide Arnesano,2024,0,1,1,2
62,2008BRAN01,Filippo Brancaleoni,2010,0,1,0,1
,2009ROTA01,Marco Rota,2011,0,1,0,1
,2009COLO03,Matteo Colombo,2012,0,1,0,1
,2009COLO03,Matteo Colombo,2013,0,1,0,1
,2013MANO03,Alessandro Manopulo,2016,0,1,0,1
,2009SANT01,Simone Santarsiero,2017,0,1,0,1
,2018BOFF01,Jacopo Antonio Boffa,2018,0,1,0,1
,2017DUMM01,Matteo Dummar,2020,0,1,0,1
,2016PAOL01,Damiano Di Paola,2021,0,1,0,1
,2021NOVI01,Alessia Novizio,2022,0,1,0,1
,2021NARB01,Dario Angelo Narbone,2025,0,1,0,1
,2022PISC01,Giovanni Pische,2025,0,1,0,1
,2023CARO07,Leonardo Carosio,2025,0,1,0,1
,2024RICC01,Riccardo Fiumefreddo,2025,0,1,0,1
76,2008BRAN01,Filippo Brancaleoni,2011,0,0,2,2
,2017FASA02,Riccardo Fasan,2018,0,0,2,2
78,2009CIAN01,Simone Ciancotti,2010,0,0,1,1
,2007POLI01,Lorenzo Vigani Poli,2012,0,0,1,1
,2007POLI01,Lorenzo Vigani Poli,2013,0,0,1,1
,2009ROTA01,Marco Rota,2013,0,0,1,1
,2012BERE01,Andrea Beretta,2013,0,0,1,1
,2009COLO03,Matteo Colombo,2014,0,0,1,1
,2012PLAC01,Gianluca Placenti,2015,0,0,1,1
,2011TRON02,Sebastiano Tronto,2016,0,0,1,1
,2013ANTI01,Marco Antinori,2016,0,0,1,1
,2013DISA01,Edoardo Disarò,2016,0,0,1,1
,2012NICO02,Alessandro Nicolì,2017,0,0,1,1
,2013ANTI01,Marco Antinori,2017,0,0,1,1
,2014RAPO01,Tommaso Raposio,2017,0,0,1,1
,2009ROTA01,Marco Rota,2018,0,0,1,1
,2009ROTA01,Marco Rota,2021,0,0,1,1
,2019GIOR02,Marco Giordano,2021,0,0,1,1
,2021MARI04,Paolo Marino,2022,0,0,1,1
,2021NARB01,Dario Angelo Narbone,2022,0,0,1,1
,2018RIMI01,Flavio Rimi,2023,0,0,1,1
,2019GIOR02,Marco Giordano,2023,0,0,1,1
,2014MAUR06,Lorenzo Mauro,2024,0,0,1,1
,2018RIMI01,Flavio Rimi,2024,0,0,1,1
,2021ZANG01,Alessandro Zangolini,2024,0,0,1,1
,2022MART13,Valerio Martinelli,2024,0,0,1,1
,2022PISC01,Giovanni Pische,2024,0,0,1,1
,2023NICC01,Flavio Niccoli,2024,0,0,1,1
,2014MAUR06,Lorenzo Mauro,2025,0,0,1,1
,2016IEZZ01,Francesco Iezzi,2025,0,0,1,1
,2021ZANG01,Alessandro Zangolini,2025,0,0,1,1
,2022PRET04,Federico Preti,2025,0,0,1,1
