#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
,2009IOVA01,Massimiliano Iovane,2019,0,0,1,1
,2017BRAS01,Luca Brasini,2019,0,0,1,1
,2016PAPP02,Giuseppe Pappalardo,2020,0,0,1,1
,2016GAMM01,Vincenzo Maria Gammino,2021,0,0,1,1
,2016PAOL01,Damiano Di Paola,2022,0,0,1,1
,2009ROTA01,Marco Rota,2023,0,0,1,1
,2012NICO02,Alessandro Nicolì,2023,0,0,1,1
,2017DUMM01,Matteo Dummar,2024,0,0,1,1
,2016GASP01,Pietro Gasparetto,2025,0,0,1,1
,2018CENT02,Giovanni Centili,2025,0,0,1,1
,2023EMIL02,Matteo Emiliani,2025,0,0,1,1
