#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
,2008SIMO02,Nicolò Simone,2014,0,1,1,2
,2009ROTA01,Marco Rota,2014,0,1,1,2
,2018CENT02,Giovanni Centili,2022,0,1,1,2
,2022FUSE01,Daniele Fusella,2023,0,1,1,2
,2023GEMO02,Francesco Giuseppe Gemona,2024,0,1,1,2
,2021MARC03,Chiara Marcucci,2025,0,1,1,2
72,2009GLIO01,Alfredo Glioti,2010,0,1,0,1
,2009LUNA01,Luigi Lunardon,2010,0,1,0,1
,2010QUAG01,Damiano Quagliotto,2011,0,1,0,1
,2007POLI01,Lorenzo Vigani Poli,2012,0,1,0,1
,2010QUAG01,Damiano Quagliotto,2012,0,1,0,1
,2009ROTA01,Marco Rota,2013,0,1,0,1
,2011MONT02,Kevin Montano,2013,0,1,0,1
,2012ANON04,Anonymous,2013,0,1,0,1
,2012MONC02,Giacomo Monco,2014,0,1,0,1
,2014GERL01,Federico Gerli,2014,0,1,0,1
,2013GUAR02,Lorenzo Guarini,2015,0,1,0,1
,2014BENT01,Claudio Bentivoglio,2015,0,1,0,1
,2009SANT01,Simone Santarsiero,2016,0,1,0,1
,2013FURL01,Mattia Furlan,2016,0,1,0,1
,2016PAOL01,Damiano Di Paola,2018,0,1,0,1
,2012NICO02,Alessandro Nicolì,2020,0,1,0,1
,2018RIMI01,Flavio Rimi,2020,0,1,0,1
,2014BORG02,Federico Borgogni,2021,0,1,0,1
,2018CENT02,Giovanni Centili,2023,0,1,0,1
,2021PARO01,Matteo Parodi,2024,0,1,0,1
,2017DUMM01,Matteo Dummar,2025,0,1,0,1
,2018ARNE04,Davide Arnesano,2025,0,1,0,1
,2025HUAN57,Tommaso Huang,2025,0,1,0,1
95,2018ARNE04,Davide Arnesano,2022,0,0,2,2
,2018CENT02,Giovanni Centili,2024,0,0,2,2
,2023CARO07,Leonardo Carosio,2024,0,0,2,2
98,2009GRAV01,Lorenzo Gravina,2010,0,0,1,1
,2010PAUL02,Cesare Paulin,2010,0,0,1,1
,2009ROTA01,Marco Rota,2011,0,0,1,1
,2010MELC01,Jacopo Melchiorri,2011,0,0,1,1
,2008ZOFF01,Tommaso Zoffoli,2012,0,0,1,1
,2012MONC02,Giacomo Monco,2012,0,0,1,1
,2008ZOFF01,Tommaso Zoffoli,2013,0,0,1,1
,2011BARB03,Nicola Barbaro,2013,0,0,1,1
,2012PLAC01,Gianluca Placenti,2013,0,0,1,1
,2011MONT02,Kevin Montano,2014,0,0,1,1
,2013GUAR02,Lorenzo Guarini,2014,0,0,1,1
,2012NICO02,Alessandro Nicolì,2015,0,0,1,1
,2014AURE01,Lorenzo Aureli,2015,0,0,1,1
,2007POLI01,Lorenzo Vigani Poli,2016,0,0,1,1
,2011MOSC01,Andrea Moscatello,2016,0,0,1,1
,2012CAPP01,Gabriele Cappelletti,2016,0,0,1,1
,2011MOSC01,Andrea Moscatello,2017,0,0,1,1
,2015FAVA01,Alessandro Fava,2017,0,0,1,1
,2012CANT02,Simone Cantarelli,2018,0,0,1,1
,2014BORG02,Federico Borgogni,2018,0,0,1,1
,2017DUMM01,Matteo Dummar,2018,0,0,1,1
,2017PIER03,Davide Pierrat,2018,0,0,1,1
,2017VOCI01,Riccardo Voci,2018,0,0,1,1
,2017ZANI02,Michele Zanirato,2018,0,0,1,1
,2014BORG02,Federico Borgogni,2019,0,0,1,1
,2018CANO06,Simone Canova,2019,0,0,1,1
,2014MAUR06,Lorenzo Mauro,2020,0,0,1,1
,2018REST04,Paolo Resta,2020,0,0,1,1
,2009ROTA01,Marco Rota,2022,0,0,1,1
,2018ARNE04,Davide Arnesano,2023,0,0,1,1
,2019RIGO01,Mattia Rigo,2023,0,0,1,1
,2014MAUR06,Lorenzo Mauro,2024,0,0,1,1
,2018ARNE04,Davide Arnesano,2024,0,0,1,1
,2018CATA01,Diego Catà,2024,0,0,1,1
,2019CORO04,Giacomo Daniele Corò,2024,0,0,1,1
,2022FUSE01,Daniele Fusella,2024,0,0,1,1
,2022MART13,Valerio Martinelli,2024,0,0,1,1
,2016PAOL01,Damiano Di Paola,2025,0,0,1,1
,2017TENU01,Enrico Tenuti,2025,0,0,1,1
,2021MAGG02,Matteo Maggiali,2025,0,0,1,1
,2021PARO01,Matteo Parodi,2025,0,0,1,1
,2022RIPO01,Riccardo Ripoldi,2025,0,0,1,1
,2023CARO07,Leonardo Carosio,2025,0,0,1,1
