#,WCAid,Nome,Anno,Oro,Argento,Bronzo,Totale
,2016PAOL01,Damiano Di Paola,2022,0,0,1,1
,2012NICO02,Alessandro Nicolì,2023,0,0,1,1
,2018RIMI01,Flavio Rimi,2023,0,0,1,1
,2021SALE01,Sofia Saletnich,2023,0,0,1,1
,2016FURB01,Pietro Furbatto,2024,0,0,1,1
,2017DUMM01,Matteo Dummar,2024,0,0,1,1
,2018ARNE04,Davide Arnesano,2024,0,0,1,1
,2021NARB01,Dario Angelo Narbone,2024,0,0,1,1
,2021PAND01,Alessio Pandin,2024,0,0,1,1
,2022MACC01,Evan Maccagnan,2025,0,0,1,1
,2023EMIL02,Matteo Emiliani,2025,0,0,1,1
