#,WCAid,Nome,Competizione,Numero,Eventi
,2009IOVA01,Massimiliano Iovane,Italian Open 2013,6,333 222 555 666 333fm 333oh
,2009IOVA01,Massimiliano Iovane,Calabrian Open 2019,6,333 444 555 666 777 333oh
,2009KASE02,Christian Kaserer,Munich Open 2010,6,333 222 444 555 666 minx
,2009MORI05,Paolo Moriello,Sinuessa Open 2012,6,333 444 555 666 777 333oh
,2009MORI05,Paolo Moriello,Italian Open 2013,6,333 444 555 666 777 333oh
,2009MORI05,Paolo Moriello,PoliMi Italian Open 2014,6,333 444 666 777 333fm 333oh
,2009MORI05,Paolo Moriello,Monterotondo Open 2015,6,333 444 555 777 333fm 333oh
,2009ROTA01,Marco Rota,Respighi Open 2014,6,333 222 555 333oh skewb sq1
,2009ROTA01,Marco Rota,Eretum Open 2017,6,222 555 666 333bf 333fm skewb
,2009ROTA01,Marco Rota,Vieni a Cubare in Puglia 2025,6,333 444 333bf minx pyram skewb
,2010SARD01,Andrea Lo Sardo,Florence Open 2010,6,444 555 666 777 333oh minx
,2010SARD01,Andrea Lo Sardo,Italian Open 2011,6,333 222 444 666 333oh pyram
,2011BARB03,Nicola Barbaro,Platform Open 2014,6,333 222 444 555 333oh minx
,2011TRON02,Sebastiano Tronto,Italian Championship 2014,6,222 333bf 333fm 333oh 444bf 333mbf
,2011TRON02,Sebastiano Tronto,Monticello Conte Otto Open 2015,6,333 222 444 555 333bf 333oh
,2011TRON02,Sebastiano Tronto,PoliMi Open 2016,6,333bf 333fm 333oh clock 444bf 555bf
,2012NICO02,Alessandro Nicolì,Eretum Open 2017,6,333 444 333fm 333oh pyram skewb
,2013DISA01,Edoardo Disarò,Dueville Open 2015,6,333 444 555 777 pyram sq1
,2013DISA01,Edoardo Disarò,Topkek Rubik's Open 2015,6,333 222 444 555 pyram skewb
,2013DISA01,Edoardo Disarò,Rome Summer Open 2016,6,333 222 444 555 333fm 333oh
,2013DISA01,Edoardo Disarò,Italian Championship 2016,6,444 555 666 777 clock skewb
,2013DISA01,Edoardo Disarò,Mantua Summer 2017,6,333 444 555 666 333oh minx
,2013FURL01,Mattia Furlan,Dueville Open 2015,6,333 222 444 555 777 pyram
,2013FURL01,Mattia Furlan,Milan Cube Days 2015,6,333 444 555 666 777 minx
,2013FURL01,Mattia Furlan,Italian Championship 2017,6,444 555 666 777 333oh minx
,2013FURL01,Mattia Furlan,Road to IC - Bologna 2019,6,333 444 555 666 777 minx
,2013FURL01,Mattia Furlan,Salzburg Open 2020,6,333 444 555 666 777 minx
,2014MAUR06,Lorenzo Mauro,Ticino Open 2017,6,222 777 333bf pyram skewb 333mbf
,2014MAUR06,Lorenzo Mauro,Verona Open 2017,6,222 444 333bf 333oh pyram sq1
